window_size	threshold_pure	threshold_crf	sens. URF	sens. PURE/CRF
100	22	28	0.713188893563	0.895126582278
50	22	26	0.621055952882	0.976835443038
100	38	32	0.462873369794	0.998987341772
100	26	36	0.655132519983	0.977721518987
400	24	26	0.451830037863	0.87582278481
200	28	30	0.594867480017	0.949303797468
75	34	30	0.432162389567	0.999367088608
400	20	22	0.468868321414	0.815759493671
50	32	32	0.250525872949	1.0
75	20	30	0.734013462347	0.862658227848
100	30	18	0.647980647875	0.798860759494
100	28	38	0.624000841397	0.990949367089
100	26	30	0.65713083719	0.976012658228
400	24	28	0.450778291965	0.88
300	26	34	0.531026503997	0.906582278481
400	32	32	0.415229280606	0.951329113924
75	28	34	0.569099705511	0.996455696203
200	30	30	0.582877576777	0.963924050633
300	26	28	0.531552376946	0.898481012658
300	30	38	0.512620950778	0.952594936709
50	28	34	0.392196045435	0.999556962025
400	34	24	0.408392932268	0.942848101266
50	22	20	0.649453092133	0.936898734177
300	28	20	0.526503996634	0.873987341772
75	28	30	0.572044594026	0.996012658228
200	22	24	0.628207824989	0.820886075949
400	22	30	0.458666386201	0.857848101266
50	34	28	0.219394194363	0.999746835443
75	30	34	0.518510727808	0.998860759494
100	38	26	0.484749684476	0.988417721519
75	18	34	0.774295330248	0.745253164557
400	32	36	0.414808582247	0.954620253165
75	24	28	0.658287757678	0.973481012658
75	30	20	0.579932688263	0.910632911392
400	24	22	0.452355910812	0.864430379747
75	32	20	0.544383676904	0.910886075949
75	22	36	0.694678165755	0.939367088608
300	34	32	0.495477492638	0.971139240506
50	34	34	0.185002103492	1.0
75	36	18	0.521560790913	0.816962025316
400	26	28	0.44183845183	0.901518987342
100	38	18	0.550273453934	0.799683544304
300	30	22	0.51724863273	0.905443037975
100	36	22	0.539440471182	0.942721518987
300	38	20	0.485380732015	0.910063291139
50	34	22	0.314261674379	0.986455696203
50	32	34	0.246213714767	1.0
100	30	24	0.613588557005	0.970506329114
300	30	20	0.519141775347	0.887088607595
75	26	18	0.673958771561	0.814240506329
400	24	24	0.451935212453	0.87164556962
400	18	20	0.480647875473	0.778670886076
300	34	20	0.502419015566	0.903797468354
50	24	20	0.595077829196	0.947721518987
400	22	28	0.458771560791	0.85582278481
200	20	32	0.63925115692	0.77664556962
100	30	34	0.595919225915	0.996329113924
50	38	36	0.0920277660917	1.0
300	24	26	0.541228439209	0.866265822785
75	28	24	0.590555321834	0.983291139241
75	34	20	0.512726125368	0.910949367089
400	18	32	0.478018510728	0.796329113924
75	26	22	0.6394615061	0.956329113924
50	34	26	0.242953302482	0.998417721519
400	26	32	0.44173327724	0.90582278481
50	20	24	0.690997055111	0.931075949367
200	30	20	0.593500210349	0.874746835443
400	38	28	0.393773664283	0.968417721519
75	26	20	0.65124106016	0.90664556962
100	22	26	0.714135464872	0.892025316456
50	38	24	0.211295750947	0.995189873418
400	18	30	0.478018510728	0.795569620253
200	26	24	0.607488430795	0.899810126582
200	38	34	0.535549011359	0.992025316456
50	36	28	0.178481278923	0.999746835443
50	28	22	0.458245687842	0.986075949367
75	28	36	0.568468657972	0.996518987342
100	30	38	0.594972654607	0.996392405063
100	28	18	0.668910391249	0.796898734177
50	32	20	0.399873790492	0.952405063291
50	22	28	0.618742111906	0.978417721519
75	32	24	0.506731173748	0.986012658228
75	36	36	0.370424905343	0.999936708861
400	30	24	0.425746739588	0.92246835443
300	32	30	0.505153554901	0.95835443038
50	34	18	0.438788388725	0.870379746835
100	32	36	0.562999579302	0.998481012658
400	18	18	0.480858224653	0.771202531646
75	32	18	0.58140513252	0.816962025316
75	32	26	0.49389987379	0.995189873418
400	36	26	0.40145140934	0.95664556962
300	30	18	0.522297013042	0.864493670886
400	28	30	0.433108960875	0.92246835443
200	32	22	0.579406815313	0.917784810127
300	38	36	0.477492637779	0.986898734177
300	38	32	0.478018510728	0.981518987342
50	24	24	0.561947833403	0.989050632911
300	30	24	0.515355490114	0.920253164557
300	20	20	0.561947833403	0.77082278481
75	32	32	0.472023559108	0.999493670886
300	24	32	0.540281867901	0.876075949367
300	32	32	0.504627681952	0.961835443038
75	24	32	0.656079091292	0.975
200	36	22	0.556794278502	0.923670886076
300	20	24	0.559528817838	0.78746835443
100	36	28	0.507572570467	0.994936708861
75	22	30	0.696045435423	0.937721518987
100	24	34	0.682793437106	0.951392405063
50	18	18	0.776083298275	0.763797468354
50	30	18	0.505363904081	0.870379746835
75	26	28	0.619478334034	0.990316455696
75	20	32	0.733697938578	0.863164556962
200	20	24	0.640933950358	0.766012658228
50	24	18	0.634307951199	0.867278481013
300	28	30	0.520719394194	0.926075949367
100	20	28	0.740639461506	0.816582278481
200	28	34	0.594657130837	0.954873417722
50	38	34	0.0976020193521	1.0
100	32	34	0.5640513252	0.998481012658
75	20	22	0.740429112326	0.84417721519
200	24	26	0.61600757257	0.875316455696
75	34	36	0.420067311737	0.999936708861
200	32	20	0.583929322676	0.881012658228
300	20	36	0.557846024401	0.799367088608
100	26	38	0.654816996214	0.977848101266
400	30	30	0.42427429533	0.937784810127
50	38	26	0.172065628944	0.998417721519
100	36	32	0.496213714767	0.998797468354
200	32	38	0.571623895667	0.983101265823
75	28	18	0.643458140513	0.815949367089
50	30	24	0.374631888936	0.995063291139
100	36	26	0.515881363063	0.988291139241
400	36	20	0.404080774085	0.927594936709
50	20	20	0.704985275557	0.899493670886
200	24	30	0.614955826672	0.88417721519
100	28	34	0.624737063525	0.990759493671
300	36	38	0.486327303324	0.983164556962
50	18	26	0.750841396719	0.835316455696
100	26	26	0.661232646193	0.968101265823
75	38	26	0.372633571729	0.995506329114
200	20	26	0.639987379049	0.771202531646
75	26	26	0.624106015987	0.987658227848
50	20	18	0.727492637779	0.832405063291
75	20	28	0.734539335297	0.861265822785
75	20	18	0.757782919647	0.750632911392
400	22	36	0.458456037021	0.860443037975
100	24	32	0.683108960875	0.950759493671
300	24	18	0.547959612958	0.816708860759
300	18	32	0.568363483382	0.753797468354
75	24	38	0.654711821624	0.976898734177
200	30	18	0.603281447202	0.827594936709
400	36	38	0.398927219184	0.975253164557
50	18	34	0.749474127051	0.839240506329
400	38	38	0.392301220025	0.98082278481
200	38	26	0.539440471182	0.967341772152
200	20	18	0.654080774085	0.716075949367
400	34	22	0.408918805217	0.932658227848
100	28	24	0.637989061843	0.966075949367
75	20	24	0.737589398401	0.855443037975
50	36	18	0.415439629785	0.870379746835
400	30	20	0.427639882204	0.902278481013
300	20	28	0.55805637358	0.794556962025
50	24	36	0.545225073622	0.994873417722
75	38	36	0.322360117796	0.999936708861
75	30	24	0.548275136727	0.985253164557
50	20	30	0.685738325621	0.936392405063
300	36	20	0.493794699201	0.907341772152
100	20	36	0.739167017249	0.820569620253
100	28	22	0.644509886411	0.936962025316
100	18	32	0.7675641565	0.708164556962
300	34	24	0.498317206563	0.939683544304
100	20	32	0.739587715608	0.819303797468
400	26	24	0.443100546908	0.891835443038
200	24	20	0.622528397139	0.824113924051
400	18	26	0.478965082036	0.79164556962
75	22	24	0.701935212453	0.928037974684
50	30	32	0.315628944047	0.999936708861
50	30	28	0.331931005469	0.999620253165
400	32	26	0.416701724863	0.939430379747
50	32	18	0.470445940261	0.870379746835
100	28	30	0.627156079091	0.989240506329
200	34	32	0.560896087505	0.983924050633
300	32	34	0.504522507362	0.964430379747
75	24	26	0.661127471603	0.970949367089
300	26	22	0.53491796382	0.872151898734
50	32	22	0.356541859487	0.986455696203
50	20	38	0.684581405133	0.938924050633
50	24	32	0.5464871687	0.994367088608
75	32	38	0.466764829617	0.999620253165
200	28	28	0.595393352966	0.943987341772
400	22	38	0.458350862432	0.860759493671
100	26	24	0.665018931426	0.955
50	28	24	0.435527976441	0.994683544304
400	18	38	0.477808161548	0.79753164557
300	32	18	0.514303744215	0.873797468354
75	38	34	0.326777450568	0.999936708861
200	36	36	0.547959612958	0.992215189873
100	36	34	0.493584350021	0.999620253165
200	34	20	0.573411863694	0.884303797468
100	18	28	0.768300378629	0.706202531646
75	22	26	0.699095498528	0.934430379747
200	22	20	0.632835506942	0.788164556962
200	20	36	0.639145982331	0.778291139241
400	30	32	0.42416912074	0.939556962025
100	34	20	0.580353386622	0.886772151899
400	38	24	0.39535128313	0.953987341772
200	18	24	0.656289440471	0.701139240506
75	24	18	0.700988641144	0.807025316456
300	26	24	0.533550694152	0.884556962025
100	38	36	0.456773243584	0.999873417722
200	22	34	0.626209507783	0.837088607595
400	34	36	0.405973916702	0.966455696203
100	22	32	0.711506100126	0.898227848101
300	24	22	0.543647454775	0.848670886076
200	34	26	0.563525452251	0.963417721519
75	32	28	0.481594446782	0.998227848101
75	32	30	0.475599495162	0.999050632911
300	36	30	0.487168700042	0.972848101266
50	26	36	0.467606226336	0.998924050633
75	34	28	0.439945309213	0.998544303797
300	30	28	0.513357172907	0.938291139241
200	32	24	0.576461926798	0.94335443038
300	20	38	0.557846024401	0.799873417722
100	34	32	0.532919646613	0.998544303797
50	22	36	0.615902397981	0.981708860759
300	18	26	0.568784181742	0.748797468354
100	18	18	0.780290281868	0.643987341772
200	28	38	0.594657130837	0.957088607595
200	24	32	0.614955826672	0.886392405063
50	22	18	0.679848548591	0.859303797468
300	28	26	0.521560790913	0.913544303797
300	26	32	0.531131678586	0.905063291139
100	18	22	0.771665965503	0.694620253165
100	22	20	0.723075305006	0.827721518987
300	28	24	0.522822885991	0.905
300	22	20	0.553533866218	0.805506329114
300	18	28	0.568468657972	0.751265822785
100	26	22	0.669856962558	0.927848101266
300	20	30	0.55795119899	0.796455696203
400	32	28	0.415544804375	0.945506329114
75	36	38	0.367900715187	0.999936708861
50	26	38	0.467185527976	0.999050632911
75	30	32	0.520298695835	0.998734177215
75	38	38	0.318573832562	0.999936708861
400	24	32	0.450673117375	0.883670886076
300	28	34	0.520298695835	0.93082278481
75	34	26	0.454249053429	0.995506329114
75	34	24	0.469394194363	0.986329113924
75	38	30	0.343605384939	0.999367088608
400	26	22	0.443521245267	0.883924050633
200	24	38	0.614850652082	0.889746835443
100	26	28	0.658813630627	0.973481012658
200	34	24	0.565628944047	0.948291139241
200	34	34	0.560475389146	0.98664556962
400	22	24	0.459928481279	0.848734177215
300	38	26	0.479806478755	0.959936708861
400	32	38	0.414703407657	0.955506329114
50	32	30	0.259045014724	0.999873417722
100	36	36	0.491796381994	0.999620253165
400	28	20	0.436369373159	0.889430379747
300	30	26	0.514093395036	0.930253164557
200	32	28	0.573411863694	0.967594936709
50	36	34	0.137358014304	1.0
75	28	32	0.570572149769	0.996392405063
400	36	22	0.402292806058	0.939240506329
100	20	26	0.741375683635	0.814240506329
200	28	18	0.613904080774	0.820506329114
50	28	18	0.5464871687	0.870189873418
50	36	22	0.283866217922	0.986455696203
300	32	20	0.511148506521	0.897088607595
75	22	28	0.696992006731	0.93664556962
400	22	22	0.460349179638	0.842721518987
400	20	36	0.467290702566	0.830443037975
75	34	34	0.422275978124	0.999936708861
100	18	38	0.767143458141	0.709810126582
300	24	28	0.54049221708	0.871329113924
100	32	18	0.626419856963	0.799367088608
400	24	30	0.450673117375	0.882405063291
75	22	34	0.694888514935	0.938734177215
50	34	36	0.181426167438	1.0
50	24	26	0.553428691628	0.992025316456
100	30	28	0.602019352125	0.991835443038
400	36	34	0.399453092133	0.972341772152
100	20	30	0.740008413967	0.818291139241
200	20	20	0.64514093395	0.741518987342
300	30	34	0.512726125368	0.949936708861
300	32	22	0.509255363904	0.916139240506
300	26	30	0.531447202356	0.902594936709
200	26	34	0.60485906605	0.926835443038
100	36	24	0.527450567943	0.973101265823
300	24	36	0.540176693311	0.878797468354
400	28	26	0.434265881363	0.914050632911
300	32	24	0.507362221287	0.931898734177
100	36	30	0.501051745898	0.997784810127
100	24	26	0.686579722339	0.943227848101
200	30	24	0.586243163652	0.935
75	34	32	0.426588136306	0.999810126582
100	22	22	0.718552797644	0.866329113924
300	34	34	0.495372318048	0.973987341772
400	26	34	0.44173327724	0.907025316456
50	34	24	0.277450567943	0.995189873418
75	36	28	0.39556163231	0.998544303797
100	28	20	0.652923853597	0.882341772152
300	20	32	0.55795119899	0.79746835443
50	28	38	0.390408077408	0.999620253165
100	32	28	0.572885990745	0.993860759494
200	22	30	0.626314682373	0.833797468354
50	26	32	0.469604543542	0.998607594937
75	36	26	0.411653344552	0.995506329114
50	30	36	0.311211611275	0.999936708861
50	30	30	0.322044594026	0.999810126582
50	32	38	0.242217080353	1.0
100	34	18	0.602334875894	0.799683544304
50	36	26	0.205405973917	0.998417721519
300	32	28	0.505363904081	0.951898734177
75	22	18	0.729070256626	0.791455696203
200	26	18	0.622843920909	0.806582278481
300	32	36	0.504417332772	0.966265822785
200	30	26	0.584770719394	0.94917721519
75	22	20	0.712978544384	0.871898734177
200	24	36	0.614850652082	0.888860759494
300	34	30	0.496003365587	0.967151898734
300	36	32	0.486642827093	0.977088607595
200	24	34	0.614850652082	0.888037974684
300	18	24	0.56952040387	0.74582278481
100	34	34	0.530921329407	0.999367088608
200	34	30	0.561001262095	0.979810126582
100	20	20	0.748001682793	0.769303797468
400	28	18	0.436579722339	0.874746835443
100	24	36	0.682477913336	0.951835443038
300	38	30	0.478544383677	0.977151898734
75	38	24	0.392090870846	0.986329113924
50	38	38	0.0881363062684	1.0
400	32	34	0.415124106016	0.952974683544
50	26	30	0.471813209928	0.998291139241
200	32	36	0.571729070257	0.981835443038
100	30	20	0.630521665966	0.885506329114
75	24	34	0.655553218342	0.975569620253
75	30	36	0.51766933109	0.998924050633
300	36	34	0.486432477913	0.98
200	18	20	0.660180900294	0.683417721519
50	36	36	0.132414808582	1.0
300	24	34	0.540281867901	0.877278481013
75	28	26	0.581931005469	0.992405063291
300	18	18	0.574673958772	0.722721518987
100	20	34	0.739377366428	0.820063291139
200	18	36	0.654606647034	0.709746835443
200	36	30	0.548590660496	0.983037974684
400	24	36	0.450462768195	0.88582278481
200	36	26	0.551325199832	0.965949367089
75	30	26	0.537336979386	0.994430379747
100	38	38	0.454564577198	0.999873417722
300	22	28	0.549537231805	0.834746835443
75	18	20	0.781973075305	0.715253164557
100	22	18	0.734854859066	0.758670886076
200	26	32	0.605069415229	0.924810126582
50	28	26	0.415965502735	0.997911392405
100	26	34	0.655448043753	0.977405063291
300	24	30	0.540387042491	0.874367088608
200	36	18	0.572780816155	0.836708860759
400	36	36	0.399032393774	0.974303797468
300	20	26	0.558477071939	0.791265822785
